('Market Cap', '3.515T')
         620587 function calls (596876 primitive calls) in 2.318 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     19/7    0.000    0.000    0.001    0.000 inspect.py:2496(_signature_from_callable)
      200    0.000    0.000    0.001    0.000 typing.py:1639(<genexpr>)
        1    0.000    0.000    0.001    0.001 asgi.py:1(<module>)
       19    0.000    0.000    0.001    0.000 __init__.py:43(compile)
      993    0.000    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
      653    0.000    0.000    0.001    0.000 utils.py:27(is_accentuated)
        1    0.000    0.000    0.001    0.001 __init__.py:444(PercentStyle)
      381    0.000    0.000    0.001    0.000 __init__.py:735(string_container)
      464    0.000    0.000    0.001    0.000 typing.py:1358(__getattr__)
 1331/956    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     3792    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        9    0.000    0.000    0.001    0.000 parser.py:172(set_cdata_mode)
       53    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:698(_classify_pyc)
       86    0.001    0.000    0.001    0.000 contextlib.py:108(__init__)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1234(path_stats)
      102    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
      636    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dammit.py:98(EntitySubstitution)
        1    0.000    0.000    0.001    0.001 _status_codes.py:8(codes)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:731(_validate_timestamp_pyc)
      212    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
      886    0.001    0.000    0.001    0.000 {built-in method fromkeys}
