('Market Cap', '3.515T')
         625347 function calls (600917 primitive calls) in 7.672 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      544    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      884    0.000    0.000    0.000    0.000 parser.py:182(clear_cdata_mode)
       19    0.000    0.000    0.000    0.000 css_match.py:436(__init__)
      263    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      184    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      196    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      401    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      327    0.000    0.000    0.004    0.000 {built-in method builtins.next}
       58    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
       49    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     1022    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
       61    0.000    0.000    0.001    0.000 enum.py:1596(__or__)
      383    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
       28    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
      271    0.000    0.000    0.000    0.000 css_parser.py:332(match)
       70    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      254    0.000    0.000    0.138    0.001 __init__.py:287(compile)
    85/40    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.006    0.006 ssl.py:1(<module>)
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      403    0.000    0.000    0.000    0.000 __init__.py:1068(handle_data)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      342    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      128    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      935    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       45    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      298    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
      200    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      440    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      259    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      170    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
  110/108    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        3    0.000    0.000    0.032    0.011 utils.py:1(<module>)
      368    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      200    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
    80/46    0.000    0.000    0.164    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      443    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
