('Market Cap', '3.515T')
         620852 function calls (597109 primitive calls) in 1.927 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      136    0.000    0.000    0.000    0.000 _connection.py:224(their_state)
  136/102    0.000    0.000    0.010    0.000 typing.py:574(__getitem__)
      135    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      132    0.000    0.000    0.000    0.000 element.py:2355(get)
      127    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      121    0.004    0.000    0.006    0.000 _compiler.py:470(_get_charset_prefix)
      120    0.008    0.000    0.010    0.000 cd.py:172(characters_popularity_compare)
      120    0.000    0.000    0.000    0.000 cd.py:167(<lambda>)
      118    0.000    0.000    0.000    0.000 cd.py:145(<genexpr>)
      118    0.000    0.000    0.000    0.000 cd.py:369(<genexpr>)
      115    0.000    0.000    0.000    0.000 cd.py:394(<lambda>)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      113    0.000    0.000    0.000    0.000 {built-in method unicodedata.category}
      113    0.000    0.000    0.003    0.000 typing.py:1658(copy_with)
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      110    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      110    0.000    0.000    0.000    0.000 enum.py:1337(value)
      109    0.000    0.000    0.001    0.000 enum.py:1059(_add_member_)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      107    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
      106    0.000    0.000    0.000    0.000 dataclasses.py:705(_is_kw_only)
      106    0.000    0.000    0.000    0.000 dataclasses.py:699(_is_initvar)
      106    0.000    0.000    0.000    0.000 enum.py:799(<genexpr>)
      106    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_classvar)
      102    0.000    0.000    0.000    0.000 _models.py:166(encoding)
      102    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
      102    0.001    0.000    0.009    0.000 typing.py:753(Union)
      100    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       99    0.000    0.000    0.000    0.000 {method 'isprintable' of 'str' objects}
       99    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       99    0.001    0.000    0.002    0.000 enum.py:251(__set_name__)
       99    0.000    0.000    0.000    0.000 enum.py:248(__init__)
       99    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       98    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       97    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
       96    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       96    0.000    0.000    0.000    0.000 utils.py:70(is_latin)
       94    0.000    0.000    0.000    0.000 dataclasses.py:437(add_fn)
       90    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       90    0.000    0.000    0.000    0.000 _models.py:19(enforce_bytes)
       90    0.000    0.000    0.003    0.000 <frozen abc>:105(__new__)
       89    0.000    0.000    0.000    0.000 contextlib.py:136(__enter__)
       89    0.000    0.000    0.000    0.000 contextlib.py:108(__init__)
       89    0.000    0.000    0.001    0.000 contextlib.py:303(helper)
       89    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
       89    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       88    0.000    0.000    0.000    0.000 contextlib.py:145(__exit__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       86    0.000    0.000    0.000    0.000 typing.py:1757(<genexpr>)
       86    0.000    0.000    0.000    0.000 __init__.py:305(escape)
       85    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
       84    0.000    0.000    0.003    0.000 typing.py:1634(__getitem__)
